Summary,Issue Type,Epic Link,Description,Priority,Component,Fix Version,Labels,Flow Slug,Rule Codes,Rule Codes,Rule Codes,NFR Codes,Service
Cross-currency phai quy doi truoc khi ap han muc,Story,F2 Bill Telco,"Given ti gia USD = 25.000 VND / When CUST-003 thanh toan amount=1000 currency=USD / Then he thong coi la 25.000.000d va vi vuot nguong ra soat nen ket qua phai la HELD",Highest,ewallet-payment-business,Stage-C-business-logic,flow-f2,bill-telco-payment,R-CURRENCY-01,R-FX-01,R-REVIEW-01,,ewallet-payment-business
Giao dich ngoai te lon phai bi tu choi,Story,F2 Bill Telco,"Given ti gia USD = 25.000 VND / When CUST-003 thanh toan amount=15000 currency=USD / Then he thong coi la 375.000.000d va vi vuot MAX_TXN_BILL nen phai la 422 AMOUNT_TOO_LARGE",Highest,ewallet-payment-business,Stage-C-business-logic,flow-f2,bill-telco-payment,R-CURRENCY-01,R-FX-01,R-AMOUNT-02,,ewallet-payment-business
Chuyen tien thanh cong khong phi,Story,F3 P2P Transfer,"Given CUST-001 co 5.000.000d va CUST-002 co 1.000.000d / When chuyen 300.000d / Then 200 COMPLETED fee=0, CUST-001 con 4.700.000d, CUST-002 co 1.300.000d, 2 ledger_entries POSTED, notification_outbox co 2 ban ghi",High,ewallet-payment-business,Stage-C-business-logic,flow-f3,p2p-transfer,R-P2P-03,R-P2P-06,R-LEDGER-01,NFR-LAT-03,ewallet-payment-business
Chuyen tien tren 2 trieu thi co phi,Story,F3 P2P Transfer,"When CUST-003 chuyen 3.000.000d cho CUST-002 / Then fee=2200 va CUST-003 bi tru 3.002.200d",Medium,ewallet-payment-business,Stage-C-business-logic,flow-f3,p2p-transfer,R-FEE-04,R-P2P-03,,,ewallet-payment-business
Tu chuyen cho chinh minh bi tu choi,Story,F3 P2P Transfer,"When CUST-001 chuyen tien cho CUST-001 / Then 422 SELF_TRANSFER_NOT_ALLOWED",Medium,ewallet-payment-business,Stage-C-business-logic,flow-f3,p2p-transfer,R-P2P-01,,,,ewallet-payment-business
Vuot han muc ngay bi tu choi P2P,Story,F3 P2P Transfer,"Given CUST-003 da chuyen 36.000.000d trong ngay / When chuyen tiep 18.000.000d / Then tong ngay 54.000.000d vuot 50.000.000d nen phai 422 LIMIT_EXCEEDED",Highest,ewallet-payment-business,Stage-C-business-logic,flow-f3,p2p-transfer,R-LIMIT-01,R-USAGE-01,,,ewallet-payment-business
Chuyen tien lon bi treo cho duyet,Story,F3 P2P Transfer,"When CUST-003 chuyen 25.000.000d cho CUST-002 / Then 202 HELD, tien bi giu chua vao vi nguoi nhan, co event PaymentHeld",High,ewallet-payment-business,Stage-C-business-logic,flow-f3,p2p-transfer,R-REVIEW-01,R-EVENT-01,,NFR-LAT-01,ewallet-payment-business
Sua third-party khong duoc anh huong F3,Story,F3 P2P Transfer,"Given co thay doi trong ewallet-third-party / When chay lai kich ban chuyen tien / Then trace cua F3 khong chua span nao cua ewallet-third-party",Medium,platform-vquality,Stage-F-vds,flow-f3,p2p-transfer,R-P2P-02,,,,platform-vquality
Doi tac tu choi thi tien phai duoc hoan,Story,F4 Failure Refund,"Given CUST-001 co 5.000.000d / When nap 500.999d va doi tac tra DECLINED / Then 502 refunded=true, so du van 5.000.000d, order REFUNDED, 4 ledger_entries (2 goc REVERSED va 2 nguoc chieu POSTED), co event PaymentRefunded, daily_usage khong tang",Highest,ewallet-payment-order,Stage-C-business-logic,flow-f4,failure-refund,R-COMP-01,R-COMP-03,R-LEDGER-02,NFR-COMP-01,ewallet-payment-order
Doi tac timeout thi cung phai hoan tien,Story,F4 Failure Refund,"When nap 500.888d va doi tac khong phan hoi trong 3 giay / Then third-party timeout, 504, order REFUNDED",High,ewallet-third-party,Stage-C-business-logic,flow-f4,failure-refund,R-COMP-01,R-COMP-08,,NFR-TIMEOUT-01,ewallet-third-party
So du khong du thi khong can bu tru,Story,F4 Failure Refund,"Given CUST-004 co 50.000d / When chuyen 300.000d / Then 422 INSUFFICIENT_FUNDS, khong co ledger_entries nao duoc tao, co event PaymentFailed",High,ewallet-payment-business,Stage-C-business-logic,flow-f4,failure-refund,R-BALANCE-01,R-EVENT-01,,,ewallet-payment-business
Hoan tien hai lan phai bi tu choi,Story,F4 Failure Refund,"Given mot don da REFUNDED / When Ops goi lai POST /api/orders/{id}/refund / Then 409 ALREADY_REFUNDED va khong co but toan moi",Medium,ewallet-payment-order,Stage-C-business-logic,flow-f4,failure-refund,R-COMP-05,R-COMP-06,,,ewallet-payment-order
Don dang HELD thi khong tu bu tru,Story,F4 Failure Refund,"Given mot don o trang thai HELD / When he thong chay chu ky doi soat / Then don van HELD, tien van bi giu, khong co but toan REFUND nao",Medium,ewallet-payment-order,Stage-C-business-logic,flow-f4,failure-refund,R-COMP-07,,,,ewallet-payment-order
Mot event den ca hai consumer group,Story,F5 Async Notification,"When business publish PaymentCompleted cho don X / Then notification tao notification_outbox cho don X va order ghi order_steps EVENT_APPLIED, hai consumer group co offset doc lap",High,ewallet-notification,Stage-C-business-logic,flow-f5,async-notification,R-NOTIF-01,R-ORDST-03,,NFR-LAT-05,ewallet-notification
Chuyen tien P2P sinh hai thong bao,Story,F5 Async Notification,"When co event PaymentCompleted voi counterpartyCustomerId / Then notification_outbox co 2 ban ghi cho 2 customerId khac nhau",High,ewallet-notification,Stage-C-business-logic,flow-f5,async-notification,R-NOTIF-02,R-NOTIF-05,,,ewallet-notification
Giao dich lon gui them SMS,Story,F5 Async Notification,"When co event PaymentCompleted voi amountVnd = 15.000.000 / Then notification_outbox co 2 ban ghi channel PUSH va SMS",Medium,ewallet-notification,Stage-C-business-logic,flow-f5,async-notification,R-NOTIF-01,,,,ewallet-notification
Gui that bai 3 lan thi vao DLT,Story,F5 Async Notification,"Given notification duoc cau hinh loi cho CUST-DLQ / When co event PaymentCompleted cho CUST-DLQ / Then co 3 lan thu x-attempt 1 2 3, message cuoi nam o ewallet.payment.events.DLT, sent_log ghi DEAD_LETTER",High,ewallet-notification,Stage-C-business-logic,flow-f5,async-notification,R-NOTIF-03,R-NOTIF-04,,NFR-NOTIF-01,ewallet-notification
Event trung khong tao thong bao moi,Story,F5 Async Notification,"When cung mot eventId duoc gui hai lan / Then notification_outbox chi co mot ban ghi cho moi kenh",Medium,ewallet-notification,Stage-C-business-logic,flow-f5,async-notification,R-NOTIF-05,,,,ewallet-notification
Don bi treo thi khach phai duoc bao,Story,F5 Async Notification,"When mot don vao trang thai HELD / Then phai co event PaymentHeld va thong bao PUSH cong EMAIL",Highest,ewallet-notification,Stage-C-business-logic,flow-f5,async-notification,R-NOTIF-01,R-EVENT-01,R-REVIEW-01,,ewallet-notification
Khong ghi de trang thai terminal,Story,F5 Async Notification,"Given don da REFUNDED / When order-status-cg nhan event PaymentCompleted cho don do / Then trang thai van REFUNDED, co log WARN va co order_steps EVENT_APPLIED",Medium,ewallet-payment-order,Stage-C-business-logic,flow-f5,async-notification,R-ORDST-02,R-ORDST-03,,,ewallet-payment-order
Tra cuu lich su tra ve don moi nhat truoc,Story,F6 Transaction History,"Given CUST-001 co 5 don / When goi GET /api/wallet/transactions limit=20 / Then 200 count=5, don dau tien co created_at lon nhat, moi don co danh sach steps",High,ewallet-payment-order,Stage-C-business-logic,flow-f6,transaction-history,R-HIST-01,R-HIST-02,R-HIST-05,NFR-LAT-04,ewallet-payment-order
Gioi han limit toi da,Story,F6 Transaction History,"When goi voi limit=500 / Then he thong chi tra toi da 100 don",Medium,ewallet-payment-order,Stage-C-business-logic,flow-f6,transaction-history,R-HIST-03,,,,ewallet-payment-order
Thieu customerId,Story,F6 Transaction History,"When goi GET /api/orders/history khong co customerId / Then 400 MISSING_PARAMETER",Low,ewallet-business-customer-mobileapp,Stage-C-business-logic,flow-f6,transaction-history,R-HIST-01,,,,ewallet-business-customer-mobileapp
Khach chua co giao dich,Story,F6 Transaction History,"When goi voi customerId=CUST-NEW / Then 200 va items rong",Low,ewallet-payment-order,Stage-C-business-logic,flow-f6,transaction-history,R-HIST-01,,,,ewallet-payment-order
An truong noi bo voi client,Story,F6 Transaction History,"When khach goi qua /api/wallet/transactions / Then response khong chua source_account_id dest_account_id idempotency_key",Medium,ewallet-business-customer-mobileapp,Stage-C-business-logic,flow-f6,transaction-history,R-HIST-04,,,,ewallet-business-customer-mobileapp
So cau SQL phai khong phu thuoc so don,Story,F6 Transaction History,"Given CUST-001 co 50 don / When goi GET /api/orders/history limit=50 / Then tong so cau SQL phai nho hon hoac bang 2",Highest,ewallet-payment-order,Stage-C-business-logic,flow-f6,transaction-history,R-HIST-06,R-HIST-07,,NFR-DB-01,ewallet-payment-order
